Date,Europe,Asia,North America,Oceania,Latin America
2023-02-19,94.37589525031093,22.683477124126235,144.65261703404488,6.576337078009319,67.6983387149941
2023-02-26,91.45793801751081,4.666874677636061,143.39418091609127,-0.5555754686547905,76.30169085435044
2023-03-05,103.51221311625187,4.221179903668461,155.19106082759083,-4.206463278931751,75.44293380307553
2023-03-12,102.88662607261789,-1.8825768897311481,151.6859084684866,-3.571554739110468,77.79572191379512
2023-03-19,101.03378473586592,5.06363834672046,152.59060939822402,-4.59277999416172,75.24897276969148
2023-03-26,72.36268064136662,3.3127643431375713,132.43624800885715,-12.113116153725526,64.35352599543748
2023-04-02,90.2766414275567,9.971055141312265,137.58623853888366,-13.731566175098003,56.3851888492386
2023-04-09,120.19438890398726,8.98465843177977,154.7248319706051,14.491242387148448,81.17103823324602
2023-04-16,104.69154341871241,16.012300161041978,153.053087428739,3.201743832184461,80.60449231365456
2023-04-23,95.25615629118879,15.673046298172974,144.48460521639032,-6.5651861511030685,81.65412316905399
2023-04-30,95.84684662782186,6.9875551657619095,149.0203779319825,-2.443374821304445,66.27088359857534
2023-05-07,97.41233840600798,10.070017743494937,143.28050630151276,-9.776507343885713,70.33083096445904
2023-05-14,86.80576572262572,13.046307992035796,145.09474395471955,-6.148182957393484,66.5613381438599
2023-05-21,35.727535949666986,-0.5609276159014619,119.16142434108757,-8.649541443908376,27.593560578937705
2023-05-28,84.96767372657365,20.40131413317354,139.23576232608465,3.717275355237979,61.39789825217344
2023-06-04,63.627946214066675,3.609174145847125,125.77431544524316,-19.512880359612726,36.21057595944114
2023-06-11,108.79101221146182,23.16686773895946,171.9379834318931,-3.455978720519591,70.19025791025196
2023-06-18,97.51308323385773,21.906141106896264,149.50040036482443,-0.8506194044405856,50.97839055647487
2023-06-25,71.05012722377253,2.9311045634307984,155.7760649334267,-7.122421940037754,49.208469146641015
2023-07-02,108.55177127082804,18.389357820915766,141.68859308099815,-1.0710684723085933,67.47240678009393
2023-07-09,109.43193089489105,24.74311282752354,151.50164726941603,2.127770026929691,75.07370487586101
2023-07-16,72.0427397348562,9.972854022689939,148.73722120400978,-9.009754448937732,64.13720530467918
2023-07-23,91.4960834355881,7.370078297417732,137.9228952772074,-12.793467724711254,59.07590865437295
2023-07-30,93.87431073753125,5.637658006770577,144.95246755223837,-16.900128719618383,53.67874993992407
2023-08-06,96.30981029872042,12.532793366687113,149.79792489196035,-11.76570305505671,63.01044877287667
2023-08-13,86.0743630264804,15.675804939641482,148.23472356935014,-3.7261393252095516,51.66711229535655
2023-08-20,87.38803957385771,16.50701763030982,152.74735510579578,-3.4952610019595856,55.746373825066144
2023-08-27,87.88694830484276,16.855441456034846,146.1453468440368,-2.6637266688458108,59.89335167027243
2023-09-03,93.94587508529972,27.935591368110035,142.15019148581897,2.8998202019270667,62.010529098338466
2023-09-10,96.72669639256274,23.27891123022851,151.09373391147162,2.7862088176748125,75.54487190431152
2023-09-17,89.50057239387148,13.350739773716274,142.41610647478123,1.1257530336292927,63.22727530015535
2023-09-24,89.13325080243,6.691325509104644,141.72337454522653,-2.514043380720591,54.2402142742769
2023-10-01,104.30215596811378,16.315930039135857,160.98666809970186,3.2781200513217668,69.4974248684136
2023-10-08,123.73596683998444,25.579725086706812,165.84323833139732,1.3275980170201898,71.88436790547745
2023-10-15,115.58376532034842,23.028334028806338,158.76789738082212,7.508390562865633,79.7844975685556
2023-10-22,88.07006147319689,-64.83750433482535,162.98898379849328,9.259683995922527,-38.381791072593415
2023-10-29,118.78424554586566,18.031175028513747,155.98633018005324,7.47496914003566,64.60566532037987
2023-11-05,124.61202661760595,20.041114049579487,169.97161274295428,12.696334221570412,78.01661163965166
2023-11-12,124.19465611407267,20.784256843889736,174.99798486769984,18.32575328828491,83.41996362116565
2023-11-19,103.45147237053294,11.522763668690427,145.02356728984654,7.405243649912692,56.106807186547606
2023-11-26,136.2653518937319,25.78136176262801,193.44562213186936,21.683611224074827,77.24147183156886
2023-12-03,139.86592144954147,37.632788982625996,189.0308561495002,26.298807092277492,83.63106778873335
2023-12-10,149.68395017992043,36.37693335611197,182.14128328809522,31.90551857418939,81.137840512975
2023-12-17,167.81850924475472,44.761637948760125,205.57464420613013,42.2886061022945,103.51634948252048
2023-12-24,232.85920664142225,53.799463465451815,272.4206375584632,10.03408336627313,71.20188578815299
2023-12-31,NA,NA,NA,NA,NA
2024-01-07,NA,NA,NA,NA,NA
2024-01-14,NA,NA,NA,NA,NA
